A.;Jag;Je t'aime Juliette;unknown;unknown;unknown;Je t'aime Juliette - A. Jag;OXC7Fd0ZN8o;A Jag Je t'aime Juliette OXC7FdZN8o;6955346875
Stahl;William C.;The Cream City Clog;unknown;unknown;unknown;The Cream City Clog - Wm C. Stahl (1869 - 1940);-96m_FZu3ck;Stahl William C The Cream City Clog -96m_FZu3ck;15120146875
Stahl;William C.;Dainty Dame;unknown;unknown;unknown;Dainty Dame - Wm C. Stahl (1869 - 1940);p9-SwQLBlSI;Stahl William C Dainty Dame p9-SwQLBlSI;17838146875
Stahl;William C.;Derby Polka;unknown;unknown;unknown;Derby Polka - Wm C. Stahl (1869 - 1940);1hq8czCDnw0;Stahl William C Derby Polka 1hq8czCDnw;18453746875
Stahl;William C.;Estella Mazurka;unknown;unknown;unknown;Estella Mazurka - Wm C. Stahl (1869 - 1940);xCDWYAFa4zU;Stahl William C Estella Mazurka xCDWYAFa4zU;12999746875
Stahl;William C.;Golden Bell Waltz;unknown;unknown;unknown;Golden Bell Waltz - Wm C. Stahl (1869 - 1940);gmrKI53VUVQ;Stahl William C Golden Bell Waltz gmrKI53VUVQ;8683346875
Stahl;William C.;Kensington Schottische;unknown;unknown;unknown;Kensington Schottische - Wm C. Stahl (1869 - 1940);GrMjYWJ3cyw;Stahl William C Kensington Schottische GrMjYWJ3cyw;10648946875
Stahl;William C.;Luneta Schottische;unknown;unknown;unknown;Luneta Schottische - Wm C. Stahl ( 1869 - 1940) - Tablature;rgEOg_aLsPE;Stahl William C Luneta Schottische rgEOg_aLsPE;13798946875
Stahl;William C.;March Victorious;unknown;unknown;unknown;March Victorious - Wm C. Stahl (1869 - 1940);5igxh9sXU5g;Stahl William C March Victorious 5igxh9sXU5g;13521746875
Stahl;William C.;Oxford Schottische;unknown;unknown;unknown;Oxford Schottische - Wm C. Stahl (1869 - 1940);bzBJ8Id943I;Stahl William C Oxford Schottische bzBJ8Id943I;9000146875
Stahl;William C.;Rosalie Schottische;unknown;unknown;unknown;Rosalie Schottische - Wm C. Stahl (1869 - 1940);NbKjhSZYDhw;Stahl William C Rosalie Schottische NbKjhSZYDhw;10436546875
Stahl;William C.;Sweet Pretty Waltz;unknown;unknown;unknown;Sweet Pretty Waltz - Wm C. Stahl ( 1869 - 1940);ig5-ekCSeCE;Stahl William C Sweet Pretty Waltz ig5-ekCSeCE;14554946875
Stamaty;Camille;Andante-meditation sur 'Plaisir d'amour' Op.24;French;1811;1870;Stamaty?Trois Transcriptions1.Plaisir d'amour de MartiniOp.24;QvRGG-ngdGA;Stamaty Camille Andante-meditation sur 'Plaisir d'amour' Op24 QvRGG-ngdGA;38314946875
Stamaty;Camille;Du moment qu'on aime;French;1811;1870;Stamaty: Du moment qu'on aime air de Zemire et Azor de Gretry transcription variee;bd4z45uKhQ8;Stamaty Camille Du moment qu'on aime bd4z45uKhQ8;30715346875
Stamaty;Camille;L'ecossaise Op.29;French;1811;1870;Camille Stamaty: La petite fileuse (Lied) Op. 35;GLxsyQxCLeI;;0
Stamaty;Camille;12 Esquisses Op.17;French;1811;1870;Stamaty Camille : Douze esquisses Op.17 No.12  Chanson d'Emmanuel pf.?????;gKeJsf4mdr0;Stamaty Camille 12 Esquisses Op17 gKeJsf4mdr;17715746875
Stamaty;Camille;6 Etudes caracteristiques sur 'Oberon' Op.33;French;1811;1870;Camille-Marie Stamaty :  Six Etudes caracteristiques op.33-5;KWXLyiWUeYQ;Stamaty Camille 6 Etudes caracteristiques sur 'Oberon' Op33 KWXLyiWUeYQ;34351346875
Stamaty;Camille;Etudes pittoresques Op.21;French;1811;1870;Stamaty Camille Marie?Douze Etudes pittoresques10.Chanson du HamacOp.21?pf:Osamu N. Kanazawa;y5NYXpPoqCk;Stamaty Camille Etudes pittoresques Op21 y5NYXpPoqCk;20872946875
Stamaty;Camille;La petite fileuse Op.35;French;1811;1870;Camille Stamaty: La petite fileuse (Lied) Op. 35;GLxsyQxCLeI;Stamaty Camille La petite fileuse Op35 GLxsyQxCLeI;14803346875
Stamaty;Camille;Le rhythme des doigts Op.36;French;1811;1870;Camille Stamaty: La petite fileuse (Lied) Op. 35;GLxsyQxCLeI;;0
Stamaty;Camille;Romance dramatique Op.14;French;1811;1870;Stamaty?Romance et chanson militaire d'Egmont de Beethoven caprice dramatiqueOp.27;HhXu7UgJuYs;Stamaty Camille Romance dramatique Op14 HhXu7UgJuYs;44992946875
Stamaty;Camille;Sicilienne dans le genre ancien Op.25;French;1811;1870;Camille Stamaty: Sicilienne dans le genre ancien Op. 25;2qmEIAAr8D8;Stamaty Camille Sicilienne dans le genre ancien Op25 2qmEIAAr8D8;35812946875
Stamaty;Camille;Tarantelle Op.23;French;1811;1870;Stamaty: TarentelleOp.23 pf.???;GrwFyBABKQk;Stamaty Camille Tarantelle Op23 GrwFyBABKQk;34988546875
Stanchinsky;Aleksey;Allegro Op.2;Russian;1888;1914;Alexei Stanchinsky ? Piano Sonata No.2;XAmAfCmxoZI;;0
Stanchinsky;Aleksey;Canon a 2 voix en augmentation;Russian;1888;1914;Alexei Stanchinsky - Five Preludes in the form of a Canon;7PTIGiYpmMg;;0
Stanchinsky;Aleksey;Canon-Preludes;Russian;1888;1914;Alexei Stanchinsky - Five Preludes in the form of a Canon;7PTIGiYpmMg;Stanchinsky Aleksey Canon-Preludes 7PTIGiYpmMg;84157346875
Stanchinsky;Aleksey;Etude in F minor;Russian;1888;1914;Aleksei Vladimirovich Stanchinsky: Etude in F minor;p21wNn8OkiU;Stanchinsky Aleksey Etude in F minor p21wNn8OkiU;19098146875
Stanchinsky;Aleksey;Etude in G minor;Russian;1888;1914;Alexei Stanchinsky - Etude in G minor;ctCuJ05r3zk;Stanchinsky Aleksey Etude in G minor ctCuJ5r3zk;15908546875
Stanchinsky;Aleksey;Humoresque;Russian;1888;1914;Alexei Stanchinsky - Humoresque;X9D0-OEpo_4;Stanchinsky Aleksey Humoresque X9D-OEpo_4;30204146875
Stanchinsky;Aleksey;2 Mazurkas;Russian;1888;1914;Alexei Stanchinsky - 2 Mazurkas (1905-1907);-4kdPV3EIJ4;Stanchinsky Aleksey 2 Mazurkas -4kdPV3EIJ4;31006946875
Stanchinsky;Aleksey;Nocturne;Russian;1888;1914;Stanchinsky: Nocturne (1907);Fvgscojv6I4;Stanchinsky Aleksey Nocturne Fvgscojv6I4;29408546875
Stanchinsky;Aleksey;Piano Sonata in E-flat minor;Russian;1888;1914;Alexei Stanchinsky - Piano Sonata in E-flat minor;HuJzbRh-5nE;Stanchinsky Aleksey Piano Sonata in E-flat minor HuJzbRh-5nE;60508946875
Stanchinsky;Aleksey;Piano Sonata No.2;Russian;1888;1914;Alexei Stanchinsky ? Piano Sonata No.2;XAmAfCmxoZI;Stanchinsky Aleksey Piano Sonata No2 XAmAfCmxoZI;81010946875
Stanchinsky;Aleksey;Prelude and Fugue;Russian;1888;1914;Alexei Stanchinsky - Prelude and Fugue in G minor;wyoNrth-ZP0;Stanchinsky Aleksey Prelude and Fugue wyoNrth-ZP;35312546875
Stanchinsky;Aleksey;Prelude in E major;Russian;1888;1914;Alexei Stanchinsky - Prelude in E major;8i-mSTlMxy8;Stanchinsky Aleksey Prelude in E major 8i-mSTlMxy8;8467346875
Stanchinsky;Aleksey;Prelude in Lydian Mode;Russian;1888;1914;Stanchinsky: Prelude in the Lydian Mode (1908);b5fvk5wR-xM;Stanchinsky Aleksey Prelude in Lydian Mode b5fvk5wR-xM;29307746875
Stanchinsky;Aleksey;3 Preludes;Russian;1888;1914;Eduard Syomin plays Stanchinsky 3 Preludes (1907);2PqRHnXabOs;Stanchinsky Aleksey 3 Preludes 2PqRHnXabOs;26704946875
Stanchinsky;Aleksey;5 Preludes;Russian;1888;1914;Alexei Stanchinsky - 5 Preludes (1907-1912);c2Efp31l1sA;Stanchinsky Aleksey 5 Preludes c2Efp31l1sA;38289746875
Stanchinsky;Aleksey;3 Sketches;Russian;1888;1914;Alexei Stanchinsky ? 12 Sketches Op.1;wYrcgLEuOA4;Stanchinsky Aleksey 3 Sketches wYrcgLEuOA4;96793346875
Stanchinsky;Aleksey;12 Sketches Op.1;Russian;1888;1914;Alexei Stanchinsky ? 12 Sketches Op.1;wYrcgLEuOA4;Stanchinsky Aleksey 12 Sketches Op1 wYrcgLEuOA4;96793346875
Stanchinsky;Aleksey;Songs without Words;Russian;1888;1914;Alexei Stanchinsky - Songs without words;f-NxlRQWv4I;Stanchinsky Aleksey Songs without Words f-NxlRQWv4I;51811346875
Stanchinsky;Aleksey;Tears;Russian;1888;1914;Stanchinsky: Tears - ?????;ZzVF2lVekgw;Stanchinsky Aleksey Tears ZzVF2lVekgw;13500146875
Stanchinsky;Aleksey;Variations;Russian;1888;1914;Alexei Stanchinsky - Variations (Audio + Sheet Music);w0MsxuhZFHI;Stanchinsky Aleksey Variations wMsxuhZFHI;27572546875
Stanford;Charles Villiers;The Lord of Might Op.83;British;1852;1924;Stanford - 24 Preludes Op. 163 [Audio + Score];TVKYQSb-Rp8;;0
Stanford;Charles Villiers;6 Sketches (Elementary);British;1852;1924;Charles Villiers Stanford: Six Sketches (Primary) - Orly Watson Piano;EOlzDSg9-1o;;0
Stanford;Charles Villiers;6 Sketches (Primary);British;1852;1924;Charles Villiers Stanford: Six Sketches (Primary) - Orly Watson Piano;EOlzDSg9-1o;Stanford Charles Villiers 6 Sketches (Primary) EOlzDSg9-1o;29451746875
Stankovych;Tatiana;Pesco in fiore;unknown;unknown;unknown;Pesco in fiore composto ed eseguito da Tatiana Stankovych (Progetto didattico easy piano);4MKeRzPaocE;Stankovych Tatiana Pesco in fiore 4MKeRzPaocE;11455346875
Stankovych;Tatiana;Prelude No.2;unknown;unknown;unknown;"""Prelude n.2 """"Turbinio del vento"""" composed and performed by Tatiana Stankovych (Progetto didattico)""";Ej-zz8Mn5lU;Stankovych Tatiana Prelude No2 Ej-zz8Mn5lU;6130946875
Stankovych;Tatiana;La Sorgente;unknown;unknown;unknown;La Sorgente composizione ed esecuzione di Tatiana Stankovych (Progetto didattico);WW4umF_tRIA;Stankovych Tatiana La Sorgente WW4umF_tRIA;6012146875
Stark;Etilmon Justus;Clover Blossoms Rag;unknown;1867;1962;Clover Blossom Rag by E. J. Stark (1912 Ragtime piano);R5pLRemrco4;Stark Etilmon Justus Clover Blossoms Rag R5pLRemrco4;14140946875
Starke;Friedrich;Wiener Pianoforte Schule Op.108;unknown;1774;1835;Kalkbrenner - Pianoforte-Schule Op.108;TGcqnJjQXYc;Starke Friedrich Wiener Pianoforte Schule Op18 TGcqnJjQXYc;19720946875
Statkowski;Roman;Chansons libres Op.15;Polish;1859;1925;Roman Statkowski: Moderato e semplice (Chansons libres) Op.15 No.2;gDzImuaykjs;Statkowski Roman Chansons libres Op15 gDzImuaykjs;27068546875
Statkowski;Roman;Mazureks Op.24;Polish;1859;1925;Roman Statkowski: Mazurka in A minor Op.24 No.3;9hszyUFW86g;Statkowski Roman Mazureks Op24 9hszyUFW86g;14785346875
Statkowski;Roman;3 Morceaux Op.12;Polish;1859;1925;Roman Statkowski: 3 Morceaux Op. 12: I - Melodie;XxCLsdQkjD8;Statkowski Roman 3 Morceaux Op12 XxCLsdQkjD8;24091346875
Statkowski;Roman;Obereks Op.22;Polish;1859;1925;Roman Statkowski: 3 Morceaux Op. 12: I - Melodie;XxCLsdQkjD8;;0
Statkowski;Roman;3 Piecettes polonaises Op.9;Polish;1859;1925;Roman Statkowski: Trois piecettes polonaises Op  9: III - Dumka;o9h99VIEoZQ;Statkowski Roman 3 Piecettes polonaises Op9 o9h99VIEoZQ;20066546875
Staub;Victor;Sous bois Op.6;French;1872;1953;Victor Staub ? Sous Bois op 6 ????????;L72xOeQrwhw;Staub Victor Sous bois Op6 L72xOeQrwhw;26128946875
Stefani;Jozef;Polonaise in B-flat major;unknown;1800;1876;Jozef Stefani - Polonaise melancholique a-moll;HveZII_3uvk;;0
Stefani;Jozef;Polonaise melancholique;unknown;1800;1876;Jozef Stefani - Polonaise melancholique a-moll;HveZII_3uvk;Stefani Jozef Polonaise melancholique HveZII_3uvk;17578946875
Stefani;Jozef;Walc Styryjski;unknown;1800;1876;"""Jozef Stefani - Walc styryjski nr 1 z baletu """"Mimili"""" (1837)""";y-kRBe9TdHo;Stefani Jozef Walc Styryjski y-kRBe9TdHo;9543746875
Steibelt;Daniel;Pot-Pourri No.19;German;1765;1823;Franciszek Lessel - Variations op. 15 no.1 Anna Petrova-Forster piano;CgbhpZo4L2E;;0
Stenhammar;Wilhelm;Sensommarnatter Op.33;Swedish;1871;1927;Wilhelm Stenhammar - Sensommarnatter Op.33/1;hAWSmFmUONs;Stenhammar Wilhelm Sensommarnatter Op33 hAWSmFmUONs;28771346875
Sternberg;Constantin von;Etude de concert No.3 Op.103;unknown;1852;1924;Constantin von Sternberg. CONCERT ETUDE NO. 3 FOR PIANO OP.103 (Joseph Hoffman);hLhnlg_Mq5A;Sternberg Constantin von Etude de concert No3 Op13 hLhnlg_Mq5A;21286946875
Sternberg;Constantin von;4 Klavierstucke;unknown;1852;1924;Constantin von Sternberg. CONCERT ETUDE NO. 3 FOR PIANO OP.103 (Joseph Hoffman);hLhnlg_Mq5A;;0
Sternberg;Constantin von;Phbus Arise!;unknown;1852;1924;Constantin von Sternberg. CONCERT ETUDE NO. 3 FOR PIANO OP.103 (Joseph Hoffman);hLhnlg_Mq5A;;0
Stief;Holger;The Bell;unknown;unknown;unknown;Holger Stief - The Bell (original composition);QuJXXdgbwVw;Stief Holger The Bell QuJXXdgbwVw;28227746875
Stief;Holger;Lost;unknown;unknown;unknown;Holger Stief - Lost (original composition);JmbxC44_1jc;Stief Holger Lost JmbxC44_1jc;12632546875
Stief;Holger;Stars;unknown;unknown;unknown;Holger Stief - Stars (original composition);aupQArnt0_0;Stief Holger Stars aupQArnt_;20152946875
Stiehl;Heinrich;Impressions du soir;unknown;unknown;unknown;Henri Stiehl: Impressions du Soir (At Twilight) Melodie pour piano Op. 142;0iPKhjvfkc8;Stiehl Heinrich Impressions du soir iPKhjvfkc8;16120946875
Stier;Walter C.;Sweet Bye and Bye;unknown;unknown;unknown;Sweet Bye and Bye - by Walter C. Stier;VuOhYKIlqNQ;Stier Walter C Sweet Bye and Bye VuOhYKIlqNQ;31564946875
Stith;David Joseph;Pavane;unknown;unknown;unknown;David Joseph Stith: Pavane for Piano;IZ0vMFEtxA4;Stith David Joseph Pavane IZvMFEtxA4;15958946875
Stojowski;Sigismond;Aspirations Op.39;Polish;1870;1946;Stojowski: Aspirations Op. 39 - 1. Vers l'azur;pZDvPbVP3D0;Stojowski Sigismond Aspirations Op39 pZDvPbVP3D;20628146875
Stojowski;Sigismond;Danses humoresques Op.12;Polish;1870;1946;Zygmunt Stojowski: Danses Humoresques Op. 12: III - Mazurka;9L73EWr53wU;Stojowski Sigismond Danses humoresques Op12 9L73EWr53wU;10332146875
Stojowski;Sigismond;Fantaisie Op.38;Polish;1870;1946;Stojowski - Fantaisie for Trombone and Piano Op. 38;b-7pX4fROUw;Stojowski Sigismond Fantaisie Op38 b-7pX4fROUw;42624146875
Stojowski;Sigismond;5 Miniatures Op.19;Polish;1870;1946;Mazurka Op 19 N 5 de Sigismund Stojowski en Pianola desde Viedma Argentina por Horacio Asbornt;7ZSRw-q8ILM;Stojowski Sigismond 5 Miniatures Op19 7ZSRw-q8ILM;13874546875
Stojowski;Sigismond;2 Pensees musicales Op.1;Polish;1870;1946;Linda Love Performs Sigismond Stojowski Deux Pensees musicales Opus 1 2. Prelude V11602;Y0brzfc9ljc;Stojowski Sigismond 2 Pensees musicales Op1 Ybrzfc9ljc;31870946875
Stojowski;Sigismond;Piano Concerto No.1 Op.3;Polish;1870;1946;Zygmunt Stojowski Koncert Fortepianowy f-moll no.1 op.3 - cz??? I;_G87gJTmD9Y;Stojowski Sigismond Piano Concerto No1 Op3 _G87gJTmD9Y;81424946875
Stojowski;Sigismond;Polish Idylls Op.24;Polish;1870;1946;Stojowski Polish Idylls op. 24 for piano The Village Flirt Kozubek 1977 Polish Neoromantic;fxUkI5IOKBs;Stojowski Sigismond Polish Idylls Op24 fxUkI5IOKBs;15296546875
Stolpe;Antoni;2 Allegrettos;Polish;1851;1872;Antoni Stolpe (1851-1872) Allegretto non troppo No. 2 in A flat major Stefan ?abanowski piano;3dqDVabm3KA;Stolpe Antoni 2 Allegrettos 3dqDVabm3KA;19411346875
Stolpe;Antoni;Allegro appassionato in C minor;Polish;1851;1872;Antoni Stolpe (1851-1872) Allegro appassionato in C minor Stefan  ?abanowski piano;TnzIRfI1_PM;Stolpe Antoni Allegro appassionato in C minor TnzIRfI1_PM;49381346875
Stolpe;Antoni;Andante in A-flat major;Polish;1851;1872;Antoni Stolpe (1851-1872) Andante in A flat major Stefan ?abanowski piano;aDct3CLj9i8;Stolpe Antoni Andante in A-flat major aDct3CLj9i8;17470946875
Stolpe;Antoni;Polonaise in A-flat major;Polish;1851;1872;Antoni Stolpe (1851-1872) Andante in A flat major Stefan ?abanowski piano;aDct3CLj9i8;Stolpe Antoni Polonaise in A-flat major aDct3CLj9i8;17470946875
Stolpe;Antoni;Scherzo in C major;Polish;1851;1872;Antoni Stolpe (1851-1872) Scherzo in C major Stefan ?abanowski piano;NrwIsB1tjzk;Stolpe Antoni Scherzo in C major NrwIsB1tjzk;20325746875
Stolpe;Antoni;Waltz in B-flat major;Polish;1851;1872;Antoni Stolpe (1851-1872) Waltz in B flat major Stefan ?abanowski piano;Ro22-7IZeZ4;Stolpe Antoni Waltz in B-flat major Ro22-7IZeZ4;16794146875
Strater;Tillmann;Piano Pieces Op.8;unknown;unknown;unknown;Tillmann Strater : 5 Klavierstucke (piano pieces) Op 8;R62bV0eAi-A;Strater Tillmann Piano Pieces Op8 R62bVeAi-A;64584146875
Strauss;Eduard;Con amore Op.60;Austrian;1835;1916;Eduard Strauss:  Con Amore (With Love ?????) Polka francaise in C major Op. 60 (1870);Fopm4hKFjLA;Strauss Eduard Con amore Op6 Fopm4hKFjLA;32331746875
Strauss;Eduard;Ehret die Frauen Op.80;Austrian;1835;1916;Eduard Strauss:  Ehret die Frauen Walzer in D major Op. 80 (orig. 1st version) (1872);S30ov7Zr7J0;Strauss Eduard Ehret die Frauen Op8 S3ov7Zr7J;66963746875
Strauss;Eduard;Mit zartem Colorit Op.201;Austrian;1835;1916;Eduard Strauss: Mit zartem Colorit;raS7yD67XDE;Strauss Eduard Mit zartem Colorit Op21 raS7yD67XDE;32907746875
Strauss;Eduard;Wiener Welt-Ausstellungs-Marsch Op.107;Austrian;1835;1916;Eduard Strauss: Wiener Welt-Ausstellungs (??????) Marsch in E flat major Op. 107 (1873);0ZeOJ5hCchs;Strauss Eduard Wiener Welt-Ausstellungs-Marsch Op17 ZeOJ5hCchs;50482946875
Strauss;Franz;Nocturno Op.7;German;1822;1905;Franz Strauss Nocturno Op.7 for Horn (Audio);tNkysKTy638;Strauss Franz Nocturno Op7 tNkysKTy638;30610946875
Stravinsky;Igor;Les cinq doigts;British;1882;1971;Igor Stravinsky - Les cinq doigts (audio + sheet music);2Y9tFVTqPiE;Stravinsky Igor Les cinq doigts 2Y9tFVTqPiE;35503346875
Stravinsky;Igor;4 Etudes Op.7;British;1882;1971;Igor Stravinsky ? 4 Etudes Op.7;6XkkbS3l9iw;Stravinsky Igor 4 Etudes Op7 6XkkbS3l9iw;48006146875
Strelezki;Anton;Bon voyage;unknown;unknown;unknown;Anton Strelezki: Bon Voyage (Morceau a la gavotte);j5oc9ljCcc0;Strelezki Anton Bon voyage j5oc9ljCcc;10180946875
Strelezki;Anton;Lyrische Skizzen;unknown;unknown;unknown;"""Strelezki """"Lyrische Skizzen #2"""" Suzanne Kirsh Pianist""";4JH_zJxdrVA;Strelezki Anton Lyrische Skizzen 4JH_zJxdrVA;22680146875
Strelezki;Anton;Mazurka Appassionata;unknown;unknown;unknown;Anton Strelezki : Mazurka Appassionata;mEp-eKl4UuE;Strelezki Anton Mazurka Appassionata mEp-eKl4UuE;17611346875
Strelezki;Anton;Piano Pieces Op.32;unknown;unknown;unknown;Anton Strelezki: Slumber Song (Dors-tu ma vie[?]);5F5e9pD9yOk;;0
Strelezki;Anton;Siesta valse;unknown;unknown;unknown;Anton Strelezki : La Coquette  Valse Parisienne (pub. 1901);ii8f_0qBv5Y;Strelezki Anton Siesta valse ii8f_qBv5Y;24213746875
Strelezki;Anton;Slumber Song;unknown;unknown;unknown;Anton Strelezki: Slumber Song (Dors-tu ma vie[?]);5F5e9pD9yOk;Strelezki Anton Slumber Song 5F5e9pD9yOk;29246546875
Striegler;Felix;Der moderne Organist;unknown;unknown;unknown;Robert Fuchs Praeludium in D-flat major By Piano sound source;ARaYzdLPL8c;;0
Strobl;Heinrich;Sous les lauriers roses;unknown;unknown;unknown;Deodat de Severac - Sous les lauriers roses (audio + sheet music);6tlNzGhkLYQ;Strobl Heinrich Sous les lauriers roses 6tlNzGhkLYQ;91206146875
Strong;George Templeton;Legende;American;1856;1948;"""George Templeton Strong: """"Legende"""" - horn quartet""";dbHM2AUtTik;Strong George Templeton Legende dbHM2AUtTik;46206146875
Stults;Robert Morrison;Because You Told Me So;American;1861;1933;The Sweetest Story Ever Told by Robert Morrison Stults;iMNVRx3imxM;;0
Stults;Robert Morrison;The Birds and the Brook;American;1861;1933;The Birds and the Brook by R. M. Stults (1929 Novelty piano);xz56TrqSxro;Stults Robert Morrison The Birds and the Brook xz56TrqSxro;15933746875
Stults;Robert Morrison;I Love Her All Day Long;American;1861;1933;The Sweetest Story Ever Told by Robert Morrison Stults;iMNVRx3imxM;;0
Stults;Robert Morrison;If Dreams Were Only True;American;1861;1933;The Sweetest Story Ever Told by Robert Morrison Stults;iMNVRx3imxM;;0
Stults;Robert Morrison;In the Golden Long Ago;American;1861;1933;The Sweetest Story Ever Told by Robert Morrison Stults;iMNVRx3imxM;;0
Stults;Robert Morrison;Love's Sweet Story;American;1861;1933;The Sweetest Story Ever Told by Robert Morrison Stults;iMNVRx3imxM;;0
Stults;Robert Morrison;No Sweeter Words Were Ever Said;American;1861;1933;The Sweetest Story Ever Told by Robert Morrison Stults;iMNVRx3imxM;;0
Stults;Robert Morrison;The Old First Love Is Best of All;American;1861;1933;The Sweetest Story Ever Told by Robert Morrison Stults;iMNVRx3imxM;;0
Stults;Robert Morrison;Once in the Bygone Days;American;1861;1933;The Sweetest Story Ever Told by Robert Morrison Stults;iMNVRx3imxM;;0
Stults;Robert Morrison;Smoky Sam;American;1861;1933;Stults - Smoky Sam;TEPHtIMIN8U;Stults Robert Morrison Smoky Sam TEPHtIMIN8U;22485746875
Stults;Robert Morrison;The Sweetest Story Ever Told;American;1861;1933;The Sweetest Story Ever Told by Robert Morrison Stults;iMNVRx3imxM;Stults Robert Morrison The Sweetest Story Ever Told iMNVRx3imxM;21301346875
Stults;Robert Morrison;The Sweetest Words of All;American;1861;1933;The Sweetest Story Ever Told by Robert Morrison Stults;iMNVRx3imxM;;0
Stults;Robert Morrison;"""Visions of the """"Old Folks at Home""""""";American;1861;1933;The Sweetest Story Ever Told by Robert Morrison Stults;iMNVRx3imxM;;0
Stults;Robert Morrison;Whisper;American;1861;1933;The Sweetest Story Ever Told by Robert Morrison Stults;iMNVRx3imxM;;0
Stohr;Richard;10 Intermezzi Op.124;Austrian;1874;1967;Johannes Brahms - 3 Intermezzi Op. 117;w4nnjhHe15U;;0
Stohr;Richard;5 Klavierstucke Op.23;Austrian;1874;1967;G. Gould - Five Piano Pieces Op. 23 (A. Schoenberg);7A9HSlgDlQE;;0
Suk;Josef;About Friendship Op.36;unknown;1874;1932;Josef Suk - About Friendship Op.36;cKhma8doqis;Suk Josef About Friendship Op36 cKhma8doqis;30222146875
Suk;Josef;Fantaisie-Polonaise Op.5;unknown;1874;1932;Josef Suk: Fantaisie - Polonaise op. 5;cNTfUHT7qd8;Suk Josef Fantaisie-Polonaise Op5 cNTfUHT7qd8;40716146875
Suk;Josef;Moods Op.10;unknown;1874;1932;Josef Suk - Legend (from The Moods Op. 10);srAOFCYiu1I;Suk Josef Moods Op1 srAOFCYiu1I;47584946875
Sullivan;Arthur;Vesper Hymn;British;1842;1900;Arthur Sullivan : Margarita's Hymn;Ocj7ztFs1EE;Sullivan Arthur Vesper Hymn Ocj7ztFs1EE;16747346875
Suolahti;Heikki;Fantasia impromptu Op.9;Finnish;1920;1936;Chopin - Fantaisie-Impromptu (Op. 66);Gus4dnQuiGk;;0
Surzy?ski;Mieczys?aw;3 Morceaux Op.5;unknown;1866;1924;Mieczys?aw Surzy?ski: Humoresque Op. 5 No. 3;0a9VVj94wto;Surzy?ski Mieczys?aw 3 Morceaux Op5 a9VVj94wto;18532946875
Sutter;Heinrich;Heidelberg Op.22;unknown;unknown;unknown;Heinrich Sutter : Heidelberg -  Mazurka Op. 22;ApgnBkhEZYA;Sutter Heinrich Heidelberg Op22 ApgnBkhEZYA;20707346875
Sveinbjornsson;Sveinbjorn;Come to Me;unknown;1847;1927;Sveinbjorn Sveinbjornsson - Vikivaki;wKvoxqf813Q;;0
Sveinbjornsson;Sveinbjorn;6 Descriptive Duets for the Young;unknown;1847;1927;Sveinbjorn Sveinbjornsson - 6 Desriptive Duets For The Young/Piano;Jp6ASm_TVh4;Sveinbjornsson Sveinbjorn 6 Descriptive Duets for the Young Jp6ASm_TVh4;48528146875
Sveinbjornsson;Sveinbjorn;14 Descriptive Pieces for the Young;unknown;1847;1927;Sveinbjorn Sveinbjornsson - 6 Desriptive Duets For The Young/Piano;Jp6ASm_TVh4;;0
Sveinbjornsson;Sveinbjorn;Duet in A major;unknown;1847;1927;Sveinbjorn Sveinbjornsson - 6 Desriptive Duets For The Young/Piano;Jp6ASm_TVh4;;0
Sveinbjornsson;Sveinbjorn;Humoreske in G minor;unknown;1847;1927;Sveinbjorn Sveinbjornsson - Vikivaki;wKvoxqf813Q;;0
Sveinbjornsson;Sveinbjorn;Idyl;unknown;1847;1927;Sveinbjorn Sveinbjornsson: Idyl (Icelandic Folk Melody);K7ZCHSCriLI;Sveinbjornsson Sveinbjorn Idyl K7ZCHSCriLI;17992946875
Sveinbjornsson;Sveinbjorn;Impromptu Nocturne;unknown;1847;1927;Impromptu Nocturne by Sveinbjorn Sveinbjornsson;uJQACxlqlek;Sveinbjornsson Sveinbjorn Impromptu Nocturne uJQACxlqlek;32904146875
Sveinbjornsson;Sveinbjorn;Island;unknown;1847;1927;Sveinbjorn Sveinbjornsson - Vikivaki;wKvoxqf813Q;;0
Sveinbjornsson;Sveinbjorn;Islensk Rhapsodia No.2;unknown;1847;1927;Sveinbjorn Sveinbjornsson - Vikivaki;wKvoxqf813Q;;0
Sveinbjornsson;Sveinbjorn;Kantata;unknown;1847;1927;Sveinbjorn Sveinbjornsson - Vikivaki;wKvoxqf813Q;;0
Sveinbjornsson;Sveinbjorn;Lofsongur;unknown;1847;1927;Lofsongur by Sveinbjorn Sveinbjornsson;8GS0JOXzbOQ;Sveinbjornsson Sveinbjorn Lofsongur 8GSJOXzbOQ;7934546875
Sveinbjornsson;Sveinbjorn;Lords of the Main;unknown;1847;1927;Sveinbjorn Sveinbjornsson - Vikivaki;wKvoxqf813Q;;0
Sveinbjornsson;Sveinbjorn;Pastorale;unknown;1847;1927;Sveinbjorn Sveinbjornsson - Vikivaki;wKvoxqf813Q;;0
Sveinbjornsson;Sveinbjorn;Saga;unknown;1847;1927;Sveinbjorn Sveinbjornsson - Vikivaki;wKvoxqf813Q;;0
Sveinbjornsson;Sveinbjorn;Song of the Country;unknown;1847;1927;Sveinbjorn Sveinbjornsson - Vikivaki;wKvoxqf813Q;;0
